日時,社員番号,コースID,始業時間,終業時間,休憩時間
2022-05-07,0144,R,9:00,18:00,0.0
2022-05-07,0145,S-1,9:00,18:00,0.0
2022-05-07,0146,00005,06:15,19:45,1.0
2022-05-07,0147,00007,06:00,19:45,2.0
2022-05-07,0148,D-1,9:00,18:00,0.0
2022-05-07,0149,00009,05:30,15:15,1.0
2022-05-07,0150,00008,09:00,20:45,2.0
2022-05-07,0151,D-1,9:00,18:00,0.0
2022-05-07,0152,D-3,9:00,18:00,0.0
2022-05-07,0153,00006,05:45,15:45,1.25
2022-05-07,0154,00002,06:00,19:30,1.5
2022-05-07,0155,D-1,9:00,18:00,0.0
2022-05-07,0156,00024,09:00,11:30,0.0
2022-05-07,0156,S-2,11:30,18:00,0.0
2022-05-07,0157,D-4,9:00,18:00,0.0
2022-05-07,0158,D-1,9:00,18:00,0.0
2022-05-07,0159,00010,05:45,21:00,2.0
2022-05-07,0160,00025,09:00,11:30,0.0
2022-05-07,0160,S-2,11:30,18:00,0.0
2022-05-07,0161,D-1,9:00,18:00,0.0
2022-05-07,0162,00023,09:00,11:30,0.0
2022-05-07,0162,S-2,11:30,18:00,0.0
2022-05-07,0163,00011,11:45,21:45,1.0
2022-05-07,0164,00001,06:15,19:45,1.5
2022-05-08,0144,R,9:00,18:00,0.0
2022-05-08,0145,S-1,9:00,18:00,0.0
2022-05-08,0146,00011,11:45,21:45,1.0
2022-05-08,0147,00005,06:15,19:45,1.0
2022-05-08,0148,00025,09:00,11:30,0.0
2022-05-08,0148,S-2,11:30,18:00,0.0
2022-05-08,0149,00010,05:45,21:00,2.0
2022-05-08,0150,D-1,9:00,18:00,0.0
2022-05-08,0151,00002,06:00,19:30,1.5
2022-05-08,0152,00007,06:00,19:45,2.0
2022-05-08,0153,00008,09:00,20:45,2.0
2022-05-08,0154,00001,06:15,19:45,1.5
2022-05-08,0155,D-1,9:00,18:00,0.0
2022-05-08,0156,00023,09:00,11:30,0.0
2022-05-08,0156,S-2,11:30,18:00,0.0
2022-05-08,0157,D-4,9:00,18:00,0.0
2022-05-08,0158,00009,05:30,15:15,1.0
2022-05-08,0159,D-1,9:00,18:00,0.0
2022-05-08,0160,S-1,9:00,18:00,0.0
2022-05-08,0161,00006,05:45,15:45,1.25
2022-05-08,0162,00024,09:00,11:30,0.0
2022-05-08,0162,S-2,11:30,18:00,0.0
2022-05-08,0163,D-1,9:00,18:00,0.0
2022-05-08,0164,D-3,9:00,18:00,0.0
2022-05-09,0144,D-2,9:00,18:00,0.0
2022-05-09,0145,00012,06:15,08:45,0.0
2022-05-09,0145,S-2,08:45,16:15,0.0
2022-05-09,0145,00013,16:15,18:30,1.0
2022-05-09,0146,D-1,9:00,18:00,0.0
2022-05-09,0147,00001,06:15,19:45,1.5
2022-05-09,0148,R,9:00,18:00,0.0
2022-05-09,0149,00011,11:45,21:45,1.0
2022-05-09,0150,00009,05:30,15:15,1.0
2022-05-09,0151,00005,06:15,19:45,1.0
2022-05-09,0152,00002,06:00,19:30,1.5
2022-05-09,0153,D-1,9:00,18:00,0.0
2022-05-09,0154,D-2,9:00,18:00,0.0
2022-05-09,0155,00015,06:15,08:45,0.0
2022-05-09,0155,S-2,08:45,16:15,0.0
2022-05-09,0155,00016,16:15,18:30,1.0
2022-05-09,0156,S-2,12:30,16:30,0.0
2022-05-09,0156,00019,16:30,21:30,1.0
2022-05-09,0157,D-4,9:00,18:00,0.0
2022-05-09,0158,00006,05:45,15:45,1.25
2022-05-09,0159,D-4,9:00,18:00,0.0
2022-05-09,0160,00018,06:30,08:45,0.0
2022-05-09,0160,S-2,08:45,15:30,0.0
2022-05-09,0161,00008,09:00,20:45,2.0
2022-05-09,0162,S-1,9:00,18:00,0.0
2022-05-09,0163,00010,05:45,21:00,2.0
2022-05-09,0164,00007,06:00,19:45,2.0
2022-05-10,0144,R,9:00,18:00,0.0
2022-05-10,0145,D-2,9:00,18:00,0.0
2022-05-10,0146,00007,06:00,19:45,2.0
2022-05-10,0147,D-4,9:00,18:00,0.0
2022-05-10,0148,R,9:00,18:00,0.0
2022-05-10,0149,D-1,9:00,18:00,0.0
2022-05-10,0150,00015,06:15,08:45,0.0
2022-05-10,0150,S-2,08:45,16:15,0.0
2022-05-10,0150,00016,16:15,18:30,1.0
2022-05-10,0151,00010,05:45,21:00,2.0
2022-05-10,0152,00008,09:00,20:45,2.0
2022-05-10,0153,00009,05:30,15:15,1.0
2022-05-10,0154,00002,06:00,19:30,1.5
2022-05-10,0155,00012,06:15,08:45,0.0
2022-05-10,0155,S-2,08:45,16:15,0.0
2022-05-10,0155,00013,16:15,18:30,1.0
2022-05-10,0156,S-2,12:30,16:30,0.0
2022-05-10,0156,00019,16:30,21:30,1.0
2022-05-10,0157,D-3,9:00,18:00,0.0
2022-05-10,0158,00006,05:45,15:45,1.25
2022-05-10,0159,00005,06:15,19:45,1.0
2022-05-10,0160,00018,06:30,08:45,0.0
